"chlorphyll:435,665",,,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID,
A1,8,1/18/2022 15:06,SPL1,
B1,7,1/18/2022 15:06,SPL2,
C1,8,1/18/2022 15:06,SPL3,
D1,11,1/18/2022 15:06,SPL4,
E1,7,1/18/2022 15:06,SPL5,
F1,9,1/18/2022 15:06,SPL6,
G1,8,1/18/2022 15:06,SPL7,
H1,2,1/18/2022 15:06,SPL8,outlier?
A2,6,1/18/2022 15:06,SPL9,
B2,6,1/18/2022 15:06,SPL10,
C2,13,1/18/2022 15:06,SPL11,
D2,13,1/18/2022 15:06,SPL12,
E2,11,1/18/2022 15:06,SPL13,
F2,9,1/18/2022 15:06,SPL14,
G2,9,1/18/2022 15:06,SPL15,
H2,14,1/18/2022 15:06,SPL16,
A3,5,1/18/2022 15:06,SPL17,
B3,6,1/18/2022 15:06,SPL18,
C3,10,1/18/2022 15:06,SPL19,
D3,7,1/18/2022 15:06,SPL20,
E3,6,1/18/2022 15:06,SPL21,
F3,8,1/18/2022 15:06,SPL22,
G3,10,1/18/2022 15:06,SPL23,
H3,9,1/18/2022 15:06,SPL24,
A4,7,1/18/2022 15:06,SPL25,
B4,9,1/18/2022 15:06,SPL26,
C4,8,1/18/2022 15:06,SPL27,
D4,7,1/18/2022 15:06,SPL28,
E4,8,1/18/2022 15:06,SPL29,
F4,9,1/18/2022 15:06,SPL30,
G4,9,1/18/2022 15:06,SPL31,
H4,10,1/18/2022 15:06,SPL32,
A5,7,1/18/2022 15:06,SPL33,
B5,5,1/18/2022 15:06,SPL34,
C5,11,1/18/2022 15:06,SPL35,
D5,8,1/18/2022 15:06,SPL36,
E5,5,1/18/2022 15:06,SPL37,
F5,8,1/18/2022 15:06,SPL38,
G5,13,1/18/2022 15:06,SPL39,
H5,6,1/18/2022 15:06,SPL40,
A6,6,1/18/2022 15:06,SPL41,
B6,8,1/18/2022 15:06,SPL42,
C6,8,1/18/2022 15:06,SPL43,
D6,8,1/18/2022 15:06,SPL44,
E6,10,1/18/2022 15:06,SPL45,
F6,10,1/18/2022 15:06,SPL46,
G6,14,1/18/2022 15:06,SPL47,
H6,7,1/18/2022 15:06,SPL48,
A7,5,1/18/2022 15:06,SPL49,
B7,9,1/18/2022 15:06,SPL50,
C7,10,1/18/2022 15:06,SPL51,
D7,7,1/18/2022 15:06,SPL52,
E7,9,1/18/2022 15:06,SPL53,
F7,7,1/18/2022 15:06,SPL54,
G7,6,1/18/2022 15:06,SPL55,
H7,7,1/18/2022 15:06,SPL56,
A8,6,1/18/2022 15:06,SPL57,
B8,9,1/18/2022 15:06,SPL58,
C8,9,1/18/2022 15:06,SPL59,
D8,8,1/18/2022 15:06,SPL60,
E8,10,1/18/2022 15:06,SPL61,
F8,6,1/18/2022 15:06,SPL62,
G8,9,1/18/2022 15:06,SPL63,
H8,7,1/18/2022 15:06,SPL64,
A9,7,1/18/2022 15:06,SPL65,
B9,7,1/18/2022 15:06,SPL66,
C9,8,1/18/2022 15:06,SPL67,
D9,7,1/18/2022 15:06,SPL68,
E9,8,1/18/2022 15:06,SPL69,
F9,7,1/18/2022 15:06,SPL70,
G9,11,1/18/2022 15:06,SPL71,
H9,6,1/18/2022 15:06,SPL72,
A10,10,1/18/2022 15:06,SPL73,
B10,10,1/18/2022 15:06,SPL74,
C10,20,1/18/2022 15:06,SPL75,outlier?
D10,7,1/18/2022 15:06,SPL76,
E10,14,1/18/2022 15:06,SPL77,
F10,7,1/18/2022 15:06,SPL78,
G10,7,1/18/2022 15:06,SPL79,
H10,10,1/18/2022 15:06,SPL80,
A11,11,1/18/2022 15:06,SPL81,
B11,6,1/18/2022 15:06,SPL82,
C11,9,1/18/2022 15:06,SPL83,
D11,9,1/18/2022 15:06,SPL84,
E11,6,1/18/2022 15:06,SPL85,
F11,9,1/18/2022 15:06,SPL86,
G11,7,1/18/2022 15:06,SPL87,
H11,13,1/18/2022 15:06,SPL88,
A12,2,1/18/2022 15:06,SPL89,
B12,3,1/18/2022 15:06,SPL90,
C12,3,1/18/2022 15:06,SPL91,
D12,3,1/18/2022 15:06,SPL92,
E12,3,1/18/2022 15:06,SPL93,
F12,2,1/18/2022 15:06,SPL94,
G12,0,1/18/2022 15:06,SPL95,
H12,4,1/18/2022 15:06,SPL96,
