"chlorphyll:435,665",,,
Well,"chlorphyll:435,665",Reading Date/Time,Well ID
A1,7,1/11/2022 15:24,SPL1
B1,6,1/11/2022 15:24,SPL2
C1,10,1/11/2022 15:24,SPL3
D1,8,1/11/2022 15:24,SPL4
E1,12,1/11/2022 15:24,SPL5
F1,12,1/11/2022 15:24,SPL6
G1,13,1/11/2022 15:24,SPL7
H1,11,1/11/2022 15:24,SPL8
A2,7,1/11/2022 15:24,SPL9
B2,9,1/11/2022 15:24,SPL10
C2,11,1/11/2022 15:24,SPL11
D2,9,1/11/2022 15:24,SPL12
E2,6,1/11/2022 15:24,SPL13
F2,10,1/11/2022 15:24,SPL14
G2,12,1/11/2022 15:24,SPL15
H2,11,1/11/2022 15:24,SPL16
A3,5,1/11/2022 15:24,SPL17
B3,6,1/11/2022 15:24,SPL18
C3,11,1/11/2022 15:24,SPL19
D3,9,1/11/2022 15:24,SPL20
E3,12,1/11/2022 15:24,SPL21
F3,13,1/11/2022 15:24,SPL22
G3,8,1/11/2022 15:24,SPL23
H3,10,1/11/2022 15:24,SPL24
A4,8,1/11/2022 15:24,SPL25
B4,8,1/11/2022 15:24,SPL26
C4,11,1/11/2022 15:24,SPL27
D4,6,1/11/2022 15:24,SPL28
E4,8,1/11/2022 15:24,SPL29
F4,8,1/11/2022 15:24,SPL30
G4,9,1/11/2022 15:24,SPL31
H4,11,1/11/2022 15:24,SPL32
A5,9,1/11/2022 15:24,SPL33
B5,9,1/11/2022 15:24,SPL34
C5,8,1/11/2022 15:24,SPL35
D5,14,1/11/2022 15:24,SPL36
E5,8,1/11/2022 15:24,SPL37
F5,10,1/11/2022 15:24,SPL38
G5,7,1/11/2022 15:24,SPL39
H5,13,1/11/2022 15:24,SPL40
A6,10,1/11/2022 15:24,SPL41
B6,8,1/11/2022 15:24,SPL42
C6,8,1/11/2022 15:24,SPL43
D6,9,1/11/2022 15:24,SPL44
E6,11,1/11/2022 15:24,SPL45
F6,7,1/11/2022 15:24,SPL46
G6,8,1/11/2022 15:24,SPL47
H6,10,1/11/2022 15:24,SPL48
A7,8,1/11/2022 15:24,SPL49
B7,9,1/11/2022 15:24,SPL50
C7,7,1/11/2022 15:24,SPL51
D7,9,1/11/2022 15:24,SPL52
E7,10,1/11/2022 15:24,SPL53
F7,9,1/11/2022 15:24,SPL54
G7,9,1/11/2022 15:24,SPL55
H7,12,1/11/2022 15:24,SPL56
A8,9,1/11/2022 15:24,SPL57
B8,8,1/11/2022 15:24,SPL58
C8,8,1/11/2022 15:24,SPL59
D8,10,1/11/2022 15:24,SPL60
E8,10,1/11/2022 15:24,SPL61
F8,10,1/11/2022 15:24,SPL62
G8,10,1/11/2022 15:24,SPL63
H8,10,1/11/2022 15:24,SPL64
A9,10,1/11/2022 15:24,SPL65
B9,8,1/11/2022 15:24,SPL66
C9,10,1/11/2022 15:24,SPL67
D9,8,1/11/2022 15:24,SPL68
E9,10,1/11/2022 15:24,SPL69
F9,8,1/11/2022 15:24,SPL70
G9,11,1/11/2022 15:24,SPL71
H9,12,1/11/2022 15:24,SPL72
A10,7,1/11/2022 15:24,SPL73
B10,7,1/11/2022 15:24,SPL74
C10,10,1/11/2022 15:24,SPL75
D10,8,1/11/2022 15:24,SPL76
E10,9,1/11/2022 15:24,SPL77
F10,13,1/11/2022 15:24,SPL78
G10,10,1/11/2022 15:24,SPL79
H10,13,1/11/2022 15:24,SPL80
A11,13,1/11/2022 15:24,SPL81
B11,9,1/11/2022 15:24,SPL82
C11,9,1/11/2022 15:24,SPL83
D11,9,1/11/2022 15:24,SPL84
E11,12,1/11/2022 15:24,SPL85
F11,13,1/11/2022 15:24,SPL86
G11,9,1/11/2022 15:24,SPL87
H11,7,1/11/2022 15:24,SPL88
A12,2,1/11/2022 15:24,SPL89
B12,2,1/11/2022 15:24,SPL90
C12,3,1/11/2022 15:24,SPL91
D12,3,1/11/2022 15:24,SPL92
E12,2,1/11/2022 15:24,SPL93
F12,1,1/11/2022 15:24,SPL94
G12,1,1/11/2022 15:24,SPL95
H12,2,1/11/2022 15:24,SPL96
