Unique code,Diet,Parasites,Clone,Rep,Block,length_7,length_8,length_14,length_15,length_21,length_22,length_24
S Uninf MID 1,S,Uninfected,Mid37,1,3,913.61,,1121.83,,1420.13,,1479.17
S Uninf MID 2,S,Uninfected,Mid37,2,3,987.4,,1346.65,,1618.64,,1666.83
S Uninf MID 3,S,Uninfected,Mid37,3,3,867.39,,1204.79,,1472.72,,1529.6
S Uninf MID 4,S,Uninfected,Mid37,4,3,1011.5,,1299.57,,NA,1395.65,1483.53
S Uninf MID 5,S,Uninfected,Mid37,5,3,1016.76,,1198.15,,1489.88,1508.01,1568.82
S Uninf MID 6,S,Uninfected,Mid37,6,4,,943.05,,1211.25,,1381.12,1453.49
S Uninf MID 7,S,Uninfected,Mid37,7,4,,1153.16,,1441.21,,1591.14,1653.72
S Uninf MID 8,S,Uninfected,Mid37,8,4,,999.57,,1250.15,,1459.43,1528.99
S Uninf MID 9,S,Uninfected,Mid37,9,4,,959.73,,1262.55,,1464.02,1522.54
S Uninf MID 10,S,Uninfected,Mid37,10,4,,924.53,,1277.71,,1429.73,1468.13
S:M Uninf MID 1,SM,Uninfected,Mid37,1,3,734.11,,1011.22,,1255.3,,1296.33
S:M Uninf MID 2,SM,Uninfected,Mid37,2,3,880.09,,1111.87,,1291.48,,1333.79
S:M Uninf MID 3,SM,Uninfected,Mid37,3,3,819.07,,1023.46,,1226.85,,1274.83
S:M Uninf MID 4,SM,Uninfected,Mid37,4,3,839.56,,1068.88,,1280.99,,1342.13
S:M Uninf MID 5,SM,Uninfected,Mid37,5,3,891.63,,1105.69,,1241.26,,1312.43
S:M Uninf MID 6,SM,Uninfected,Mid37,6,4,,899.92,,1123.17,,1263.92,1287.72
S:M Uninf MID 7,SM,Uninfected,Mid37,7,4,,888.04,,NA,,NA,NA
S:M Uninf MID 8,SM,Uninfected,Mid37,8,4,,892.66,,1089.19,,1271.19,1332.04
S:M Uninf MID 9,SM,Uninfected,Mid37,9,4,,852.28,,1104.76,,1336.08,1357.12
S:M Uninf MID 10,SM,Uninfected,Mid37,10,4,,902.36,,1140.71,,1274.53,1319.21
M Uninf MID 1,M,Uninfected,Mid37,1,3,720.21,,909.25,,1113.44,,1216.98
M Uninf MID 2,M,Uninfected,Mid37,2,3,873.02,,1090,,1251.41,,1319.79
M Uninf MID 3,M,Uninfected,Mid37,3,3,800.82,,983.17,,1233.82,,1317.63
M Uninf MID 4,M,Uninfected,Mid37,4,3,867.31,,1080.04,,NA,,NA
M Uninf MID 5,M,Uninfected,Mid37,5,3,957.86,,1119.89,,1313.59,,1326.42
M Uninf MID 6,M,Uninfected,Mid37,6,4,,902.82,,1159.22,,1241.94,1326.94
M Uninf MID 7,M,Uninfected,Mid37,7,4,,768.7,,964.27,,1161.73,1173.97
M Uninf MID 8,M,Uninfected,Mid37,8,4,,897.54,,1083.06,,1308.98,1303.33
M Uninf MID 9,M,Uninfected,Mid37,9,4,,NA,,NA,,NA,NA
M Uninf MID 10,M,Uninfected,Mid37,10,4,,833.36,,1039.69,,1235.33,1278.95
M+ Uninf MID 1,M+,Uninfected,Mid37,1,3,849.64,,1011.86,,1218.76,,1276.68
M+ Uninf MID 2,M+,Uninfected,Mid37,2,3,868.73,,1072.88,,1256.1,,1288.25
M+ Uninf MID 3,M+,Uninfected,Mid37,3,3,899.92,,1108.87,,1267.08,,1298.87
M+ Uninf MID 4,M+,Uninfected,Mid37,4,3,911.45,,1082.33,,1213.84,,1277.93
M+ Uninf MID 5,M+,Uninfected,Mid37,5,3,773.01,,1020.48,,1156.13,,1235.73
M+ Uninf MID 6,M+,Uninfected,Mid37,6,4,,845.7,,1049.24,,1273.21,1272.41
M+ Uninf MID 7,M+,Uninfected,Mid37,7,4,,871.49,,1070.93,,1216.23,1239.03
M+ Uninf MID 8,M+,Uninfected,Mid37,8,4,,832.78,,1042.64,,1246.5,1235.09
M+ Uninf MID 9,M+,Uninfected,Mid37,9,4,,1026.8,,1129.3,,1373.64,1342.21
