Block,Day,Plate,Date,StartTime,EndTime,Diet,Parasites,Clone,Rep,Well,Column,Treatment,Experiment,Died.After.Feed,Notes
3,7,1,1/10/2022,8:25,14:44,S,Uninf,MID,1,A1,1,SUninfMID,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,MID,2,A2,2,SUninfMID,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,MID,3,A3,3,SUninfMID,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,MID,4,A4,4,SUninfMID,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,MID,5,A5,5,SUninfMID,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,STD,1,A6,6,SUninfSTD,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,STD,2,A7,7,SUninfSTD,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,STD,3,A8,8,SUninfSTD,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,STD,4,A9,9,SUninfSTD,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,STD,5,A10,10,SUninfSTD,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,NoDaphnia,NoDaphnia,A11,11,SUninfNoDaphnia,Metsch,,
3,7,1,1/10/2022,8:25,14:44,S,Uninf,NoAlgae,NoAlgae,A12,12,SUninfNoAlgae,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,MID,1,A1,1,SMetschMID,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,MID,2,A2,2,SMetschMID,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,MID,3,A3,3,SMetschMID,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,MID,4,A4,4,SMetschMID,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,MID,5,A5,5,SMetschMID,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,STD,1,A6,6,SMetschSTD,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,STD,2,A7,7,SMetschSTD,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,STD,3,A8,8,SMetschSTD,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,STD,4,A9,9,SMetschSTD,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,STD,5,A10,10,SMetschSTD,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,NoDaphnia,NoDaphnia,A11,11,SMetschNoDaphnia,Metsch,,
3,7,2,1/10/2022,8:25,15:00,S,Metsch,NoAlgae,NoAlgae,A12,12,SMetschNoAlgae,Metsch,,
3,7,3,1/10/2022,8:41,14:45,SM,Uninf,MID,1,A1,1,SMUninfMID,Metsch,,
3,7,3,1/10/2022,8:41,14:45,SM,Uninf,MID,2,A2,2,SMUninfMID,Metsch,,
3,7,3,1/10/2022,8:41,14:45,SM,Uninf,MID,3,A3,3,SMUninfMID,Metsch,,
3,7,3,1/10/2022,8:41,14:45,SM,Uninf,MID,4,A4,4,SMUninfMID,Metsch,,
3,7,3,1/10/2022,8:41,14:45,SM,Uninf,MID,5,A5,5,SMUninfMID,Metsch,,
