Unique.code,Diet,Parasites,Clone,Rep,Block,lifespan.days,Infection,InfectionStatus,Day,Offspring,Length
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,7,0,913.61
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,8,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,10,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,12,2,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,14,1,1121.83
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,15,NA,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,16,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,19,2,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,21,0,1420.13
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,22,NA,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,23,5,NA
S Uninf MID 1,S,Uninfected,Mid37,1,3,23,Uninfected,0,24,0,1479.17
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,7,0,987.4
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,8,0,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,10,0,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,12,3,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,14,1,1346.65
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,15,3,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,16,0,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,19,1,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,21,0,1618.64
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,22,NA,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,23,4,NA
S Uninf MID 2,S,Uninfected,Mid37,2,3,23,Uninfected,0,24,5,1666.83
S Uninf MID 3,S,Uninfected,Mid37,3,3,23,Uninfected,0,7,0,867.39
