Unique code,Diet,Parasites,Clone,Rep,Block,length_7,length_8,length_14,length_15,length_21,length_22,length_28,length_29,length_35,length_36,length_38
S Uninf MID 1,S,Uninfected,Mid37,1,1,933.28,,1222.54,,1272.91,,1495.05,,1571.51,,1611.04
S Uninf MID 2,S,Uninfected,Mid37,2,1,976.68,,1200.52,,1366.76,,1491.59,,1699.57,,1696.82
S Uninf MID 3,S,Uninfected,Mid37,3,1,999.12,,1332.76,,1421.68,,1681.85,,1768.47,,1776.14
S Uninf MID 4,S,Uninfected,Mid37,4,1,923.45,,1268.02,,1446.65,,1545.11,,1706.65,,1736.23
S Uninf MID 5,S,Uninfected,Mid37,5,1,983.76,,NA,,NA,,NA,,NA,,NA
S Uninf MID 6,S,Uninfected,Mid37,6,2,,981.83,,1348.09,,NA,,NA,,NA,NA
S Uninf MID 7,S,Uninfected,Mid37,7,2,,1011.2,,1284.37,,1355.55,,1562.27,,1636.05,1678.54
S Uninf MID 8,S,Uninfected,Mid37,8,2,,1018.82,,1339.74,,NA,,NA,,NA,NA
S Uninf MID 9,S,Uninfected,Mid37,9,2,,999.61,,1288.37,,1374.38,,1493.25,,1590.8,1599.96
S Uninf MID 10,S,Uninfected,Mid37,10,2,,1002.38,,1286.88,,NA,,NA,,NA,NA
S:M Uninf MID 1,SM,Uninfected,Mid37,1,1,882.37,,NA,,NA,,NA,,NA,,NA
S:M Uninf MID 2,SM,Uninfected,Mid37,2,1,1020.42,,1156.26,,1289.28,,1385.82,,1406.65,,1421.27
S:M Uninf MID 3,SM,Uninfected,Mid37,3,1,992.09,,1135.12,,1213.19,,NA,,1504.57,,1513.99
S:M Uninf MID 4,SM,Uninfected,Mid37,4,1,978.94,,NA,,NA,,NA,,NA,,NA
S:M Uninf MID 5,SM,Uninfected,Mid37,5,1,987.26,,1139.63,,1227.12,,1322.92,,1398.09,,1429.56
S:M Uninf MID 6,SM,Uninfected,Mid37,6,2,,977.69,,1189.98,,1229.69,,1378.95,,1453.22,1526.1
S:M Uninf MID 7,SM,Uninfected,Mid37,7,2,,895.8,,1164.31,,1263.63,,1344.92,,1402.11,1415.5
S:M Uninf MID 8,SM,Uninfected,Mid37,8,2,,888.11,,1139.7,,1244.18,,1333.32,,1434.78,1489.69
S:M Uninf MID 9,SM,Uninfected,Mid37,9,2,,963.85,,1182.66,,1325.15,,1426.82,,1479.44,1502.29
S:M Uninf MID 10,SM,Uninfected,Mid37,10,2,,976.38,,1243.45,,1359.43,,1465.99,,1575.67,1568.46
M Uninf MID 1,M,Uninfected,Mid37,1,1,873.08,,NA,,NA,,NA,,NA,,NA
M Uninf MID 2,M,Uninfected,Mid37,2,1,937.52,,1153.78,,1232.16,,1311.27,,1369.59,,1360.07
M Uninf MID 3,M,Uninfected,Mid37,3,1,1006.71,,1173.11,,1174.3,,NA,,NA,,NA
M Uninf MID 4,M,Uninfected,Mid37,4,1,886.91,,NA,,NA,,NA,,NA,,NA
M Uninf MID 5,M,Uninfected,Mid37,5,1,869,,1079.33,,NA,,NA,,NA,,NA
M Uninf MID 6,M,Uninfected,Mid37,6,2,,NA,,NA,,NA,,NA,,NA,NA
M Uninf MID 7,M,Uninfected,Mid37,7,2,,815.55,,1093.28,,1128,,NA,,NA,NA
M Uninf MID 8,M,Uninfected,Mid37,8,2,,NA,,NA,,NA,,NA,,NA,NA
M Uninf MID 9,M,Uninfected,Mid37,9,2,,840.55,,1066.26,,1127.9,,1216.25,,1280.35,1264.29
M Uninf MID 10,M,Uninfected,Mid37,10,2,,911.39,,1136.98,,1237.44,,1313.14,,1370.05,1408.96
M+ Uninf MID 1,M+,Uninfected,Mid37,1,1,929.39,,1068.17,,1202.01,,1255.38,,1337.89,,1322.51
M+ Uninf MID 2,M+,Uninfected,Mid37,2,1,860.32,,1036.31,,1124.49,,NA,,NA,,NA
M+ Uninf MID 3,M+,Uninfected,Mid37,3,1,778.73,,1009.48,,1157.99,,1278.74,,1297.55,,NA
M+ Uninf MID 4,M+,Uninfected,Mid37,4,1,905.74,,1078.63,,1196.03,,NA,,NA,,NA
M+ Uninf MID 5,M+,Uninfected,Mid37,5,1,923.31,,1053.59,,1191.64,,1278.9,,1321.58,,1357.26
M+ Uninf MID 6,M+,Uninfected,Mid37,6,2,,876.46,,1107.01,,1121.34,,NA,,NA,NA
M+ Uninf MID 7,M+,Uninfected,Mid37,7,2,,923.78,,1008.01,,NA,,NA,,NA,NA
M+ Uninf MID 8,M+,Uninfected,Mid37,8,2,,913.79,,1057.99,,1128.05,,NA,,NA,NA
M+ Uninf MID 9,M+,Uninfected,Mid37,9,2,,709.58,,901.85,,1054.41,,1189,,NA,NA
M+ Uninf MID 10,M+,Uninfected,Mid37,10,2,,943.4,,1096.1,,1237.35,,1287.62,,1375.56,1395.36
S Past MID 1,S,Pasteuria,Mid37,1,1,1017.66,,1343.69,,1603.02,,1707.88,,NA,,NA
S Past MID 2,S,Pasteuria,Mid37,2,1,933.21,,1261.51,,1348.89,,1354.44,,NA,,NA
S Past MID 3,S,Pasteuria,Mid37,3,1,945.93,,1273.14,,NA,,NA,,NA,,NA
S Past MID 4,S,Pasteuria,Mid37,4,1,1037.76,,1402.22,,1593.96,,1773.72,,NA,,NA
S Past MID 5,S,Pasteuria,Mid37,5,1,987.08,,1335.9,,1517.31,,1675.55,,NA,,NA
S Past MID 6,S,Pasteuria,Mid37,6,2,,1177.11,,1328.05,,1504.64,,1578.91,,1637.22,1708.2
S Past MID 7,S,Pasteuria,Mid37,7,2,,942.94,,1301.98,,1471.08,,1572.35,,1710.6,1691.06
S Past MID 8,S,Pasteuria,Mid37,8,2,,935.61,,NA,,NA,,NA,,NA,NA
S Past MID 9,S,Pasteuria,Mid37,9,2,,950.36,,1237,,1362.98,,1410.22,,NA,NA
S Past MID 10,S,Pasteuria,Mid37,10,2,,1005.23,,1298.82,,1320.66,,1487.84,,1576.2,1578.93
S:M Past MID 1,SM,Pasteuria,Mid37,1,1,913.04,,1150.17,,1286.31,,1451.6,,1545.61,,1598.77
S:M Past MID 2,SM,Pasteuria,Mid37,2,1,1001.87,,1138.73,,1343.91,,1462.91,,1660.34,,1720.45
S:M Past MID 3,SM,Pasteuria,Mid37,3,1,949.48,,1184.74,,1240.36,,1350.4,,1417.54,,1451.25
S:M Past MID 4,SM,Pasteuria,Mid37,4,1,998.65,,1284.67,,1426.96,,1586.57,,1660.05,,1704.39
S:M Past MID 5,SM,Pasteuria,Mid37,5,1,913.64,,1170.66,,1263.53,,1492.77,,1568.18,,1649.26
S:M Past MID 6,SM,Pasteuria,Mid37,6,2,,837.56,,NA,,NA,,NA,,NA,NA
S:M Past MID 7,SM,Pasteuria,Mid37,7,2,,874.42,,1199.96,,1311.58,,1492.85,,1651.39,1648.12
S:M Past MID 8,SM,Pasteuria,Mid37,8,2,,978.34,,1183.84,,1241.19,,1352.89,,1423.43,1463.27
S:M Past MID 9,SM,Pasteuria,Mid37,9,2,,887.67,,1200.35,,1273.15,,NA,,NA,NA
