Unique.code,Diet,Parasites,Clone,Rep,Block,lifespan.days,Infection,InfectionStatus,Day,Offspring,Length
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,7,0,933.28
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,8,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,10,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,12,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,14,0,1222.54
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,15,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,16,1,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,19,2,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,21,0,1272.91
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,22,NA,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,23,0,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,26,1,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,28,0,1495.05
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,29,NA,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,30,4,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,33,1,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,35,0,1571.51
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,36,3,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,37,2,NA
S Uninf MID 1,S,Uninfected,Mid37,1,1,37,Uninfected,0,38,0,1611.04
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,7,0,976.68
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,8,0,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,10,0,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,12,1,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,14,0,1200.52
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,15,0,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,16,2,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,19,2,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,21,0,1366.76
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,22,NA,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,23,4,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,26,3,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,28,0,1491.59
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,29,NA,NA
S Uninf MID 2,S,Uninfected,Mid37,2,1,37,Uninfected,0,30,2,NA
