Unique.code,Diet,Parasites,Clone,Rep,Block,Week,Infection,InfectionStatus,lifespan.days,WeeklyOffspring,CumulativeWeeklyOffspring,WeeklyLength,Clearance,Clearance_rel,metabolic.rate
M Past MID 1,M,Pasteuria,Mid37,1,1,1,Exposed,0,21,0,0,931.87,0.0677590419452486,0.078029099631117,0.000582480308346438
M Past MID 1,M,Pasteuria,Mid37,1,1,2,Exposed,0,21,0,0,1226.08,-0.256014978944727,-0.170305141455407,0.00515638323046259
M Past MID 1,M,Pasteuria,Mid37,1,1,3,Exposed,0,21,1,1,1292.21,0.155849087814822,0.0933336111891436,NA
M Past MID 1,M,Pasteuria,Mid37,1,1,4,Exposed,0,21,0,1,NA,NA,NA,NA
M Past MID 1,M,Pasteuria,Mid37,1,1,5,Exposed,0,21,0,1,NA,NA,NA,NA
M Past MID 1,M,Pasteuria,Mid37,1,1,5.5,Exposed,0,21,0,1,NA,NA,NA,NA
M Past MID 10,M,Pasteuria,Mid37,10,2,1,Exposed,0,22,0,0,854.68,0.103898893970659,0.142234136897635,-0.000552422113425449
M Past MID 10,M,Pasteuria,Mid37,10,2,2,Exposed,0,22,0,0,1127.06,-0.0636186927588387,-0.0500830382964569,0.000473594030372652
M Past MID 10,M,Pasteuria,Mid37,10,2,3,Exposed,0,22,0,0,1138.94,0.180386690262614,0.139060183646066,-0.000635455884061192
M Past MID 10,M,Pasteuria,Mid37,10,2,4,Exposed,0,22,0,0,NA,NA,NA,NA
M Past MID 10,M,Pasteuria,Mid37,10,2,5,Exposed,0,22,0,0,NA,NA,NA,NA
M Past MID 10,M,Pasteuria,Mid37,10,2,5.5,Exposed,0,22,0,0,NA,NA,NA,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,1,Exposed,NA,7,0,0,934.01,0.0677590419452486,0.0776719493251241,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,2,Exposed,NA,7,0,0,NA,NA,NA,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,3,Exposed,NA,7,0,0,NA,NA,NA,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,4,Exposed,NA,7,0,0,NA,NA,NA,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,5,Exposed,NA,7,0,0,NA,NA,NA,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,5.5,Exposed,NA,7,0,0,NA,NA,NA,NA
M Past MID 3,M,Pasteuria,Mid37,3,1,1,Exposed,0,22,0,0,935.75,-0.079658579809059,-0.090973077749046,0.001177012832424
M Past MID 3,M,Pasteuria,Mid37,3,1,2,Exposed,0,22,0,0,1211.02,-0.378936269763967,-0.258382766833471,0.000804723609183569
M Past MID 3,M,Pasteuria,Mid37,3,1,3,Exposed,0,22,1,1,1331.68,0.434857896907444,0.245215323970803,0.000488726125412784
M Past MID 3,M,Pasteuria,Mid37,3,1,4,Exposed,0,22,0,1,NA,NA,NA,NA
M Past MID 3,M,Pasteuria,Mid37,3,1,5,Exposed,0,22,0,1,NA,NA,NA,NA
M Past MID 3,M,Pasteuria,Mid37,3,1,5.5,Exposed,0,22,0,1,NA,NA,NA,NA
M Past MID 4,M,Pasteuria,Mid37,4,1,1,Exposed,0,32,0,0,924.95,0,0,-0.000391982335010946
M Past MID 4,M,Pasteuria,Mid37,4,1,2,Exposed,0,32,0,0,1153.83,-0.212652986011617,-0.159730493026779,0.00160158420917674
M Past MID 4,M,Pasteuria,Mid37,4,1,3,Exposed,0,32,5,5,1305.29,0.327887972370033,0.192447141377208,0.00205569406895143
M Past MID 4,M,Pasteuria,Mid37,4,1,4,Exposed,0,32,2,7,1339.98,-0.306761999396474,-0.170846044038815,-8.12192699808444e-06
M Past MID 4,M,Pasteuria,Mid37,4,1,5,Exposed,0,32,2,9,NA,NA,NA,NA
M Past MID 4,M,Pasteuria,Mid37,4,1,5.5,Exposed,0,32,0,9,NA,NA,NA,NA
M Past MID 5,M,Pasteuria,Mid37,5,1,1,Exposed,0,21,0,0,857.14,0.0504579548284954,0.0686793408225167,-5.11071621750192e-05
M Past MID 5,M,Pasteuria,Mid37,5,1,2,Exposed,0,21,0,0,1055.54,-0.145120500461797,-0.130250493087693,0.00105375006777166
M Past MID 5,M,Pasteuria,Mid37,5,1,3,Exposed,0,21,0,0,1146.69,0.227405173779257,0.172945111614397,NA
M Past MID 5,M,Pasteuria,Mid37,5,1,4,Exposed,0,21,0,0,NA,NA,NA,NA
M Past MID 5,M,Pasteuria,Mid37,5,1,5,Exposed,0,21,0,0,NA,NA,NA,NA
M Past MID 5,M,Pasteuria,Mid37,5,1,5.5,Exposed,0,21,0,0,NA,NA,NA,NA
M Past MID 6,M,Pasteuria,Mid37,6,2,1,Exposed,0,16,0,0,949.3,0.0825294819130854,0.0915803200713834,0.000137551498960572
M Past MID 6,M,Pasteuria,Mid37,6,2,2,Exposed,0,16,0,0,1118.31,0.0439026654026437,0.0351047974018466,0.00149431780760388
M Past MID 6,M,Pasteuria,Mid37,6,2,3,Exposed,0,16,0,0,NA,NA,NA,NA
M Past MID 6,M,Pasteuria,Mid37,6,2,4,Exposed,0,16,0,0,NA,NA,NA,NA
M Past MID 6,M,Pasteuria,Mid37,6,2,5,Exposed,0,16,0,0,NA,NA,NA,NA
M Past MID 6,M,Pasteuria,Mid37,6,2,5.5,Exposed,0,16,0,0,NA,NA,NA,NA
M Past MID 7,M,Pasteuria,Mid37,7,2,1,Exposed,0,23,0,0,975.59,-0.223191390667333,-0.234499951971762,0.00121862034795249
M Past MID 7,M,Pasteuria,Mid37,7,2,2,Exposed,0,23,0,0,1174.81,0.0663266718215004,0.0480565883953833,0.0021189410433324
M Past MID 7,M,Pasteuria,Mid37,7,2,3,Exposed,0,23,0,0,1207.54,-0.0479768065889112,-0.0329024536325306,0.000245731709215003
M Past MID 7,M,Pasteuria,Mid37,7,2,4,Exposed,0,23,0,0,NA,NA,NA,NA
M Past MID 7,M,Pasteuria,Mid37,7,2,5,Exposed,0,23,0,0,NA,NA,NA,NA
M Past MID 7,M,Pasteuria,Mid37,7,2,5.5,Exposed,0,23,0,0,NA,NA,NA,NA
M Past MID 8,M,Pasteuria,Mid37,8,2,1,Infected,1,37,0,0,908.04,-0.205821034583386,-0.249620240264876,0.0017182648918332
M Past MID 8,M,Pasteuria,Mid37,8,2,2,Infected,1,37,0,0,1080.57,-0.221570631865781,-0.18976074826753,0.00116873583248427
M Past MID 8,M,Pasteuria,Mid37,8,2,3,Infected,1,37,0,0,1151.06,0.0494763221700858,0.0373423361789283,0.000117674116477678
M Past MID 8,M,Pasteuria,Mid37,8,2,4,Infected,1,37,0,0,1277.66,0.243156378208146,0.148954994255229,0.00214273919049543
M Past MID 8,M,Pasteuria,Mid37,8,2,5,Infected,1,37,0,0,1300.75,0.0552742690364369,0.0326689622389229,-0.000521877759206964
M Past MID 8,M,Pasteuria,Mid37,8,2,5.5,Infected,1,37,0,0,1316.69,NA,NA,NA
M Past MID 9,M,Pasteuria,Mid37,9,2,1,Infected,1,19,0,0,974.13,0.0614631923210707,0.0647711005579711,-0.000297791298415358
M Past MID 9,M,Pasteuria,Mid37,9,2,2,Infected,1,19,0,0,1250.24,0,0,0.000109703743278759
M Past MID 9,M,Pasteuria,Mid37,9,2,3,Infected,1,19,0,0,NA,NA,NA,NA
