Diet,Clone,Infection,sample.size.total
M,Mid37,Exposed,9
M+,Mid37,Exposed,8
S,Mid37,Exposed,5
SM,Mid37,Exposed,5
M,Standard,Exposed,10
M+,Standard,Exposed,9
S,Standard,Exposed,9
SM,Standard,Exposed,10
M,Mid37,Infected,1
M+,Mid37,Infected,2
S,Mid37,Infected,5
SM,Mid37,Infected,5
M+,Standard,Infected,1
S,Standard,Infected,1
M,Mid37,Uninfected,10
M+,Mid37,Uninfected,10
S,Mid37,Uninfected,10
SM,Mid37,Uninfected,10
M,Standard,Uninfected,10
M+,Standard,Uninfected,10
S,Standard,Uninfected,10
SM,Standard,Uninfected,10
