Diet,Clone,Infection,sample.size.total
M,Mid37,Exposed,8
M,Mid37,Infected,1
M,Mid37,Uninfected,6
M,Standard,Exposed,9
M,Standard,Uninfected,9
M+,Mid37,Exposed,7
M+,Mid37,Infected,2
M+,Mid37,Uninfected,10
M+,Standard,Exposed,9
M+,Standard,Infected,1
M+,Standard,Uninfected,9
S,Mid37,Exposed,5
S,Mid37,Infected,5
S,Mid37,Uninfected,9
S,Standard,Exposed,8
S,Standard,Infected,1
S,Standard,Uninfected,9
SM,Mid37,Exposed,5
SM,Mid37,Infected,5
SM,Mid37,Uninfected,8
SM,Standard,Exposed,9
SM,Standard,Uninfected,8
