UniqueID,Diet,Parasites,Clone,Rep,SporeRep,HorizontalDiameter,VerticalDiameter,Area,Pi,mature_1,mature_2,mature_3,mature_4,immature_1,immature_2,immature_3,immature_4,Notes
S Past MID 1,S,Pasteuria,Mid37,1,1,4.37,4.37,14.99867019,3.141592654,217,133,149,159,44,73,47,63,
S Past MID 1,S,Pasteuria,Mid37,1,2,4.71,4.89,18.08921196,3.141592654,,,,,,,,,
S Past MID 1,S,Pasteuria,Mid37,1,3,4.54,4.71,16.79448309,3.141592654,,,,,,,,,
S Past MID 1,S,Pasteuria,Mid37,1,4,4.71,4.19,15.49975421,3.141592654,,,,,,,,,
S Past MID 1,S,Pasteuria,Mid37,1,5,4.54,4.71,16.79448309,3.141592654,,,,,,,,,
S Past MID 2,S,Pasteuria,Mid37,2,1,5.24,5.24,21.56514861,3.141592654,77,43,67,70,1,8,10,12,
S Past MID 2,S,Pasteuria,Mid37,2,2,5.41,5.24,22.2647813,3.141592654,,,,,,,,,
S Past MID 2,S,Pasteuria,Mid37,2,3,5.24,5.06,20.82436106,3.141592654,,,,,,,,,
S Past MID 2,S,Pasteuria,Mid37,2,4,5.41,5.06,21.49996056,3.141592654,,,,,,,,,
S Past MID 2,S,Pasteuria,Mid37,2,5,5.06,5.06,20.10902042,3.141592654,,,,,,,,,
S Past MID 4,S,Pasteuria,Mid37,4,1,5.59,5.59,24.54220035,3.141592654,90,134,144,129,47,39,41,30,
S Past MID 4,S,Pasteuria,Mid37,4,2,5.59,5.41,23.75193272,3.141592654,,,,,,,,,
S Past MID 4,S,Pasteuria,Mid37,4,3,5.41,5.24,22.2647813,3.141592654,,,,,,,,,
S Past MID 4,S,Pasteuria,Mid37,4,4,5.59,5.41,23.75193272,3.141592654,,,,,,,,,
S Past MID 4,S,Pasteuria,Mid37,4,5,5.76,5.41,24.47426341,3.141592654,,,,,,,,,
S Past MID 5,S,Pasteuria,Mid37,5,1,5.24,5.24,21.56514861,3.141592654,161,123,117,107,43,24,26,23,
S Past MID 5,S,Pasteuria,Mid37,5,2,4.89,5.06,19.43342092,3.141592654,,,,,,,,,
S Past MID 5,S,Pasteuria,Mid37,5,3,5.59,5.76,25.28856422,3.141592654,,,,,,,,,
S Past MID 5,S,Pasteuria,Mid37,5,4,5.59,5.41,23.75193272,3.141592654,,,,,,,,,
S Past MID 5,S,Pasteuria,Mid37,5,5,5.24,5.24,21.56514861,3.141592654,,,,,,,,,
S Past MID 9,S,Pasteuria,Mid37,9,1,5.41,5.59,23.75193272,3.141592654,28,20,33,22,2,2,6,6,
S Past MID 9,S,Pasteuria,Mid37,9,2,4.89,5.06,19.43342092,3.141592654,,,,,,,,,
S Past MID 9,S,Pasteuria,Mid37,9,3,5.24,5.41,22.2647813,3.141592654,,,,,,,,,
S Past MID 9,S,Pasteuria,Mid37,9,4,5.41,5.06,21.49996056,3.141592654,,,,,,,,,
S Past MID 9,S,Pasteuria,Mid37,9,5,5.59,5.76,25.28856422,3.141592654,,,,,,,,,
S:M Past MID 1,SM,Pasteuria,Mid37,1,1,5.06,4.71,18.71808027,3.141592654,40,25,41,41,1,1,0,2,
S:M Past MID 1,SM,Pasteuria,Mid37,1,2,4.71,4.37,16.16561478,3.141592654,,,,,,,,,
S:M Past MID 1,SM,Pasteuria,Mid37,1,3,4.89,4.89,18.78051942,3.141592654,,,,,,,,,
S:M Past MID 1,SM,Pasteuria,Mid37,1,4,5.06,5.06,20.10902042,3.141592654,,,,,,,,,
S:M Past MID 1,SM,Pasteuria,Mid37,1,5,4.02,4.19,13.22908958,3.141592654,,,,,,,,,
S:M Past MID 2,SM,Pasteuria,Mid37,2,1,4.89,4.54,17.43631047,3.141592654,168,207,197,189,12,10,8,9,
