Block,Day,Plate,Week,Date,StartTime,EndTime,Diet,Parasites,Clone,Rep,Well,Row,Column,Treatment,Experiment,Died.After.Resp,O2.sat.per.hr,mean.control.O2.sat,sd.control.O2.sat,VO2,metabolic.rate,Notes
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,STD,10,A1,A,1,SPasteuriaSTD,Past,N,-1.01078100943967,-0.766188548719123,0.200493399417672,3.00848726686278e-05,0.000605608486819478,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,STD,8,A2,A,2,SUninfSTD,Past,N,-1.21127265933358,-0.766188548719123,0.200493399417672,5.47453456055777e-05,0.00110202380704028,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,MID,6,A3,A,3,SUninfMID,Past,N,-0.274307645136248,-0.766188548719123,0.200493399417672,-6.05013511406936e-05,-0.00121789219846216,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,MID,9,A4,A,4,SPasteuriaMID,Past,N,-0.951591187616121,-0.766188548719123,0.200493399417672,2.28045245843308e-05,0.000459055079882578,
2,7,1,1,11/15/2021,9:01,11:37,S,Blank,Blank,4,A5,A,5,SBlankBlank,Past,N,-0.709008553322068,-0.766188548719123,0.200493399417672,-7.03313943383772e-06,-0.000141577096803153,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,STD,7,A6,A,6,SUninfSTD,Past,N,-0.667100540568685,-0.766188548719123,0.200493399417672,-1.21878250025038e-05,-0.000245340917300402,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,MID,8,B1,B,1,SUninfMID,Past,N,-0.788850998552766,-0.766188548719123,0.200493399417672,2.78748132953807e-06,5.61119991636014e-05,
2,7,1,1,11/15/2021,9:01,11:37,S,Blank,Blank,2,B2,B,2,SBlankBlank,Past,N,-1.00629054215805,-0.766188548719123,0.200493399417672,2.95325451929877e-05,0.000594490134734843,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,MID,10,B3,B,3,SPasteuriaMID,Past,N,-0.717570452962352,-0.766188548719123,0.200493399417672,-5.98002577808278e-06,-0.000120377918912806,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,STD,9,B4,B,4,SUninfSTD,Past,N,-0.776909461690565,-0.766188548719123,0.200493399417672,1.31867229548739e-06,2.65448733081611e-05,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,STD,7,B5,B,5,SPasteuriaSTD,Past,N,-1.04137532198325,-0.766188548719123,0.200493399417672,3.38479731114872e-05,0.000681359698734237,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,MID,9,B6,B,6,SUninfMID,Past,N,-0.757254847074482,-0.766188548719123,0.200493399417672,-1.0988453022908e-06,-2.21197559351139e-05,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,STD,6,C1,C,1,SUninfSTD,Past,N,-0.764113972972174,-0.766188548719123,0.200493399417672,-2.55172816874662e-07,-5.13662880368694e-06,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,STD,9,C2,C,2,SPasteuriaSTD,Past,N,-0.808447697663345,-0.766188548719123,0.200493399417672,5.19787532013929e-06,0.000104633230194404,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,STD,10,C3,C,3,SUninfSTD,Past,N,-1.46467366655589,-0.766188548719123,0.200493399417672,8.59136694939223e-05,0.00172944216691266,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,MID,10,C4,C,4,SUninfMID,Past,N,-1.24442365713361,-0.766188548719123,0.200493399417672,5.8822918334982e-05,0.00118410534608319,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,MID,7,C5,C,5,SPasteuriaMID,Past,N,-1.30448463477368,-0.766188548719123,0.200493399417672,6.62104185847107e-05,0.00133281572611023,
2,7,1,1,11/15/2021,9:01,11:37,S,Blank,Blank,1,C6,C,6,SBlankBlank,Past,N,-0.528194171556219,-0.766188548719123,0.200493399417672,-2.92733083910372e-05,-0.000589271697911579,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,MID,8,D1,D,1,SPasteuriaMID,Past,N,-1.20407124803542,-0.766188548719123,0.200493399417672,5.38595720159046e-05,0.00108419318468016,
2,7,1,1,11/15/2021,9:01,11:37,S,Uninf,MID,7,D2,D,2,SUninfMID,Past,N,-1.05422002652394,-0.766188548719123,0.200493399417672,3.54278717699925e-05,0.000713163058729948,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,STD,6,D3,D,3,SPasteuriaSTD,Past,N,-1.28385649130345,-0.766188548719123,0.200493399417672,6.36731569378726e-05,0.00128174064915938,
2,7,1,1,11/15/2021,9:01,11:37,S,Blank,Blank,3,D4,D,4,SBlankBlank,Past,N,-0.821260927840157,-0.766188548719123,0.200493399417672,6.77390263188719e-06,0.000136358659979889,
2,7,1,1,11/15/2021,9:01,11:37,S,Pasteuria,MID,6,D5,D,5,SPasteuriaMID,Past,N,-1.01790401556953,-0.766188548719123,0.200493399417672,3.09610024226004e-05,0.000623244978766945,
2,7,1,1,11/15/2021,9:01,11:37,S,NA,NA,NA,D6,D,6,SNANA,Past,N,NA,-0.766188548719123,0.200493399417672,NA,NA,
2,7,2,1,11/15/2021,11:39,14:01,SM,Pasteuria,MID,7,A1,A,1,SMPasteuriaMID,Past,N,-1.54692175694225,-1.82019963257192,0.660843520322335,-3.36131787024497e-05,-0.000676633287280313,
2,7,2,1,11/15/2021,11:39,14:01,SM,Uninf,MID,10,A2,A,2,SMUninfMID,Past,N,-2.07073019405919,-1.82019963257192,0.660843520322335,3.08152590629349e-05,0.00062031116493688,
2,7,2,1,11/15/2021,11:39,14:01,SM,Pasteuria,STD,10,A3,A,3,SMPasteuriaSTD,Past,N,-1.34577289986267,-1.82019963257192,0.660843520322335,-5.8354488123238e-05,-0.00117467584592078,
2,7,2,1,11/15/2021,11:39,14:01,SM,Uninf,STD,7,A4,A,4,SMUninfSTD,Past,N,-1.92081902063564,-1.82019963257192,0.660843520322335,1.23761847318373e-05,0.000249132598651885,
2,7,2,1,11/15/2021,11:39,14:01,SM,Pasteuria,MID,9,A5,A,5,SMPasteuriaMID,Past,N,-1.9369613951102,-1.82019963257192,0.660843520322335,1.43616967922085e-05,0.000289100956427158,
2,7,2,1,11/15/2021,11:39,14:01,SM,Blank,Blank,2,A6,A,6,SMBlankBlank,Past,N,-1.58876685959957,-1.82019963257192,0.660843520322335,-2.84662310755989e-05,-0.000573025231551805,
