Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
15.11.21 09:01:35,0.03,115.63,105.93,109.02,108.53,105.6,102.86,108.04,108.2,104.79,106.41,107.06,105.76,104.95,104.47,104.63,104.79,103.5,104.47,106.09,110.17,106.57,105.44,105.12,No Sensor
15.11.21 09:03:35,2.03,114.96,105.93,109.19,108.37,105.44,103.02,107.39,108.2,104.79,106.57,107.39,105.76,104.79,104.63,104.63,104.63,103.34,104.79,105.76,109.84,106.57,105.28,105.12,No Sensor
15.11.21 09:05:36,4.05,114.3,105.76,108.69,108.37,105.6,102.86,107.39,108.37,104.95,106.41,107.06,105.44,104.79,104.79,104.95,104.47,103.34,104.63,106.09,110,106.41,105.76,105.28,No Sensor
15.11.21 09:07:36,6.05,114.13,106.25,108.86,108.37,105.28,103.18,107.23,108.2,104.95,106.41,107.39,105.44,104.63,104.63,104.95,104.63,103.66,104.63,106.09,110.33,106.74,105.6,105.28,No Sensor
15.11.21 09:09:36,8.05,113.63,105.93,109.19,108.2,105.6,103.02,106.9,108.04,104.95,106.41,107.23,105.28,104.63,104.63,104.95,104.79,103.34,104.31,106.09,110.17,106.74,105.6,105.28,No Sensor
15.11.21 09:11:36,10.05,113.63,106.09,109.02,108.53,105.44,102.7,106.74,108.04,104.95,106.41,106.9,105.12,104.63,104.63,104.79,104.63,103.5,104.31,105.76,109.84,106.41,105.44,105.12,No Sensor
15.11.21 09:13:36,12.05,113.47,105.76,109.19,108.2,105.6,103.34,106.41,108.04,105.28,106.41,107.23,105.12,104.95,105.12,104.63,104.47,103.5,104.63,105.93,110.17,106.57,105.6,105.44,No Sensor
15.11.21 09:15:36,14.05,113.63,105.6,108.69,108.37,105.44,103.02,106.41,108.2,105.12,106.25,106.9,104.79,104.63,104.79,104.79,104.47,103.5,104.79,105.6,109.84,106.57,105.44,104.79,No Sensor
15.11.21 09:17:36,16.05,113.3,105.76,108.69,108.37,105.6,103.02,106.41,108.04,105.12,106.41,106.74,105.12,104.63,104.79,104.79,104.79,103.66,104.31,105.6,109.84,106.57,105.6,105.12,No Sensor
15.11.21 09:19:39,18.1,113.47,105.76,108.86,108.53,105.6,103.18,106.74,108.2,105.6,106.57,106.74,105.28,104.95,104.95,104.95,104.79,103.82,104.63,105.6,110.5,106.74,105.44,105.44,No Sensor
